study_id,wrd_cnt_phys,wrd_cnt_prox,uttr_cnt_phys,uttr_cnt_prox,nlm_spec_cnt,voa_cnt,nlm_minus_voa_cnt,fk_score,gf_score,mean_wrds_uttr_phys,median_wrds_uttr_phys,mean_wrds_uttr_prox,median_wrds_uttr_prox,pattern_sent,wwbp_to_past,wwbp_to_present,wwbp_to_future,pron_i_cnt,pron_my_cnt,pron_you_cnt,pron_your_cnt,pron_she_cnt,pron_her_cnt,pron_hers_cnt,pron_he_cnt,pron_his_cnt,phys_verb_cnt,phys_noun_cnt,phys_adjective_cnt,phys_adverb_cnt
39,1062,352,31,32,802,553,250,1.5551814268142685,4.7331283312833135,34.25806451612903,14.0,11.0,7.0,0.06642097380733744,-0.6415102119935207,0.22217178376165925,-0.5672148955824112,33,0,23,3,0,0,0,27,15,205,169,73,67
40,1498,241,23,22,1172,851,321,2.594024083576965,5.45553397528946,65.1304347826087,37.0,10.954545454545455,7.0,0.127038465007215,-0.6427135346582763,0.22902023986545123,-0.5694440294311922,37,0,36,5,1,0,0,17,15,302,191,104,91
42,1836,465,49,50,1332,986,349,0.6782892358303378,3.904720691282521,37.46938775510204,24.0,9.3,3.0,0.20815605998939327,-0.6404948414109732,0.22495500469885704,-0.5694703190474126,27,1,33,4,1,0,0,37,16,326,262,87,123
43,1194,303,32,32,898,590,309,2.074153445435522,4.991469152109708,37.3125,15.0,9.46875,5.5,0.19599039013195646,-0.6209135215760451,0.2121990363941257,-0.5784592469737736,10,0,31,3,0,1,0,40,22,216,215,69,60
44,1905,1025,46,46,1466,1059,408,2.0274678371680466,5.1458486247850175,41.41304347826087,19.5,22.282608695652176,10.5,0.14027675211498744,-0.6447112393952162,0.2278393259328018,-0.5689878701314748,33,3,46,10,0,0,0,37,20,360,250,107,127
45,2093,791,68,69,1615,1129,488,1.6779331424013133,4.85736491651802,30.779411764705884,16.0,11.46376811594203,4.0,0.14967750474944724,-0.636703030581967,0.22587208570061604,-0.5744541861874045,55,4,69,10,0,0,0,47,24,398,297,118,155
46,2494,1126,86,87,1704,1187,517,0.5388562885717239,3.481242543413902,29.0,15.5,12.954022988505747,9.0,0.13178266508623646,-0.6367952784847133,0.22413305254861085,-0.571257951088575,35,2,57,1,0,0,0,63,32,444,364,152,198
47,4039,988,74,75,2993,2169,828,1.563508495573826,4.620383321133481,54.58108108108108,22.0,13.173333333333334,8.0,0.17144854010095648,-0.635149359754125,0.22545290689402103,-0.5756174600445331,96,1,90,13,0,0,0,44,40,740,567,259,235
48,2678,416,41,40,1950,1289,663,2.196053960796318,5.26563738424732,65.3170731707317,40.0,10.4,6.0,0.056669927294927286,-0.6394723875492961,0.2239546889231283,-0.5703186245391169,74,5,56,17,0,0,0,52,20,522,395,169,195
49,1864,761,58,58,1360,939,425,1.8520404737894633,5.054887791204472,32.13793103448276,24.5,13.120689655172415,5.5,0.1103157456398198,-0.6331687684093307,0.22399655504579377,-0.575679971430237,32,2,42,5,1,1,0,39,17,357,264,148,128
50,2062,296,37,36,1499,1053,449,1.189336083479267,4.069014821902475,55.729729729729726,25.0,8.222222222222221,5.0,0.16808681235051096,-0.6367940867485797,0.2190975867411352,-0.5687458206688961,26,4,51,7,2,3,0,33,22,366,347,125,151
51,1549,267,28,28,1166,820,347,2.1043688489516477,5.186136071887034,55.32142857142857,22.5,9.535714285714286,5.5,0.07064161564161563,-0.6346661734112282,0.22052752695522593,-0.5688555867781331,21,0,37,7,0,0,0,37,12,285,247,118,96
52,2158,405,50,50,1596,1072,524,2.2826079072532703,5.062548553309553,43.16,26.5,8.1,4.0,0.2540007499062617,-0.6366494901390404,0.22121584939123368,-0.5693970773764374,32,4,29,7,1,0,0,29,20,378,397,102,131
53,2798,428,58,58,1848,1246,605,0.33376221045229926,3.5168227277556046,48.241379310344826,21.0,7.379310344827586,5.0,0.1481323482513958,-0.6406921636078686,0.22822673067693006,-0.5718295236841106,79,4,65,4,0,0,0,81,24,470,387,143,200
54,2451,253,28,28,1823,1276,547,1.6353996455471886,4.524678777137794,87.53571428571429,44.0,9.035714285714286,7.5,0.15428017718715392,-0.641423228455017,0.22368296212670832,-0.5686192602942702,67,1,83,9,0,0,0,47,18,510,306,177,165
55,457,126,15,15,317,221,96,2.6066866340243795,5.4247525783935835,30.466666666666665,20.0,8.4,4.0,0.22651875901875898,-0.6350211465909952,0.22246069595412393,-0.5722167579295071,5,0,16,1,0,0,0,9,6,80,72,31,25
56,3092,584,58,59,2270,1627,644,1.051565586848568,3.8761705001105513,53.310344827586206,31.5,9.898305084745763,4.0,0.17816914486479696,-0.6395941266137238,0.22510111464609933,-0.5711868049879948,69,6,97,1,0,0,0,50,22,622,369,183,225
57,1319,406,34,36,910,626,284,0.8883005260320829,4.244324243945054,38.794117647058826,24.0,11.277777777777779,9.0,0.16388103457723707,-0.6411690256534315,0.2245203163843075,-0.5683420426107159,16,1,29,6,1,0,0,33,15,234,182,68,82
58,1728,840,82,81,1205,762,444,0.7126904987194198,3.586416673372496,21.073170731707318,14.0,10.382716049382717,6.0,0.2874318658280922,-0.6283364097826191,0.22059751719429377,-0.5751747646752502,23,0,30,4,0,0,0,37,17,285,271,95,111
59,4505,537,79,78,3220,2328,898,0.7399876642531531,3.5469026548672566,57.0253164556962,24.0,6.884615384615385,4.0,0.169001081052576,-0.6365408030669516,0.22141536666729095,-0.5723263325873472,75,3,95,5,1,0,0,97,28,818,591,270,306
60,2177,339,28,28,1516,1074,445,0.9006100866416187,3.7225225359485408,77.75,35.0,12.107142857142858,10.0,0.13452762465352386,-0.6420361843106899,0.2214599446537741,-0.5626623873664875,31,1,81,6,0,0,0,36,15,418,282,142,134
